내용	긍부정
백제의 건축양식을 직접 볼 수 있어 좋았어요! 매 정시에 해설도 있어서 함께 들으면서 관람하니 더 유익했습니다 공간이 넓고 잘 유지가 되고있어서 고즈넉하게 관람하기 좋아요~! 야간개장도 기대되네요	1
너무 더워서 제대로 다 둘러볼수가 없었어요.. 평일이라 야간개장이 없어서 아쉬웠네요..	0
백제에 관한 많은 억사적 사실을 알게되있습니다. 조경도 아름답고 전체적으로 세심하게 관리하시는 거 같아요.	1
좋아요	1
여유롭게 구경하고 좋아요 넓습니다 다만 뭘 할려면 대부분 또 추가요금을 내야합니다 단순히 건물 구경만 하신다면 입장료만 지불하시면 되요	1
좋네요 애들이좋아해요.	1
백제 역사 볼 수 있고 다양한 볼거리가 많아요	1
엄청 넓고 좋네요 웅장해요	1
널보 좋아요	1
여름밤 산책하기에 더할나위없이 좋았어영	1
넓은 공간에 백제의 역사를 담아둔곳으로 여기저기 볼거리가 가득하고 무엇보다 산책하기좋은곳입니다..단 재현된 마을은 뭔가 아쉬움이 남았어요..너무 규모에만 집중한 느낌;; 한여름에 폭염주의보가 내린 대낮에 방문했다 쓰러질뻔요ㅋ 가을봄에 찾음 딱일듯요..여름엔 저녁에 찾아보길 추천드려요 입장료 6천원으로 박물관까지 둘러볼 수 있습니다. 요즘 대부분 입장료가 무료로 전환되는데 6천원의 입장료는 조금 아쉬웠어요..^^;	1
좋아요	1
야경은 8시 넘어야되용ㅎㅎ 저녁에 선선해진 공기속에서 옛 백제의 정취를 물씬 느낄수있었습니다	1
매표소 직원분들도 친절하시고 설명 잘해주셔서 입장료 합리적으로 계산해서 입장 했어요 볼거리 야경 많아서 좋아요	1
밤도깨비 미션 재미있게 했고 아이들은 땀 한바가지 쏟고 기절하듯이 잤습니다	1
더운 여름 야간 방문하기 좋았어요. 밤 10시 마감 덥지않고 둘러보기 좋네요. 네이버예약시 할인되요.	1
좋아요	1
문화재 해설도 잘 듣고 관람하면서 감동했는데 뜬금없는 미니 동물원에 경악했습니다. 사람도 죽을 것 같은 폭염에 물도 없이 염소 방치하고 빗물받은 대야에는 오물이 가득하고 바닥엔 대변이 가득.오리사는 더 심해서 악취가 풍깁니다. 동물복지 생각해서 잘 관리하거나 아예 인공물로 대체하는 게 나을 것 같습니다. 외국인들 보기에도 부끄럽네요 찬란한 백제문화 알리려다 동물학대 알려질 듯. 조속한 시정을 바랍니다.	0
부여 오시면 꼭 오세요 너무 예뻐요!!	1
어렸을때 방이동 백제고분과 석촌동 삼전도비를 놀이터처럼 다녀서 백제문화단지에 있는 유적들이 낯설지 않았다 조선시대 승자 역사를 많이 체험하고 익숙한 탓인지 백제 문화가 제대로 복원이 안된탓인지 조선시대 유적의 내음새가 많이 가미되구 시멘트가 많이 섞인 담장이 이질적이기도 하지만 이런 문화단지가 많이 조성되었으면 하는 바람도 있다	0
해질녘쯤가서 9시 쯔음 까지 있으면 불켜져 있어서 예뻐용	1
야간으로 왔는데 해지는 시간 너무 급하게 도착해서 석양사진을 못 찍었네요 매표소 직원분이 설명을 명확하지 않게 해주어 할인도 못 받고, 찝찝한 상태로 관광한게 아쉬워요 야간프로그램은 어두워서 못 가는 곳도 많고 벌레도 많아서 철갑상어 먹이만 주고 일찍 나왔어요 조금 일찍 오면 연날리기 전기자전거등도 즐기고 좋을 것 같아요	0
도깨비 체험 아이와 재미있게했습니다 :)	1
진짜 유적지는 아니지만 그래도 백제 시대상을 잘 살려 야러 모습을 볼 수 있습니다. 크기도 크지 않고 가격도 합리적입니다.	1
리조트 근처라 기대없이 야간에 갔는데 진짜 정말 좋았음 기본적으로 수수하면서 조금은 화려한 백제시대 건축물 보는 재미 + 산책하면 마음이 고요하고 평안해짐	1
부여롯데리조트 근처라 유모차로 갈만하고 야경이 이뻐서 잘 돌아봤어요	1
다들 어마어마하게 넓다고 해서 안더운 밤에 갔는데 제가 야맹증이 있어서 어두운 거리를 걸어다니는게 조금 어렵긴했어요 워낙에 넓은데 밤길까지 안보이니 약간은 무서우면서 힘들었는데요 진짜 다들 후기에서도 그랬듯이 어마어마하게 넓어서 들어가시기전에 꼭 화장실 들렀다 가세요 어두워서도 못찾는데 너무 넓어서도 더더 못찾으니 꼭 화장실 먼저 들렀다 가세요	0
기대안하고 왓는데 너무 아름답고 멋졌어요 가까우면 자주 방문하고 싶은 생각이 들엇어요	1
조아요	1
가격이 좀 비싸요. 부여리조트까지 셔틀있으면 좋겠어요	0
깨끗하고 쾌적하고 조용해요. 산책만해도 좋을것같고 여름엔 야간추천합니다	1
굿	1
날이 뜨거웠지만 그래도 예쁜 사비궁과 백제시대의 정취를 느낄 수 있어 너무 좋았습니다 한복대여점 선생님도 엄청 친절하시고 잘 해주셨어요 다음에도 한복대여 해서 입장하고싶어요!	1
아이와 같이 방문하기 좋아요 무료체험도 많아요	1
가족여행으로 온 부여.백제문화단지는 처음가봤는데 웅장한 백제성이 멋있었고.밤도깨비 미션을 하면서 공부하고.찾고 아이가 좋아했습니다.	1
아이랑 가기 좋아요	1
좋아요	1
롯데리조트 바로앞이라 걸어갈수있어요. 여름엔 야경보러가는게 덥지도 않고 좋은 것 같습니다. (한복체험과 전망대관람은 야간개장엔 못해요.) 아이 한명만 밤도깨비 신청했는데, 덕분에 구석구석 잘 보러다녔어요. 미션완료에 2시간 안걸려요.	1
와 진짜 야경이 멋졌습니다 밤도깨비 으스스하게 잘 하고 왔어요	1
날씨가 더웠지만 우산쓰고 여러가지 체험 구경 잘하고 왔습니다 선선한 날씨에 오면 좋을것 같아요 열차5천원 전기자전거 25000원 입니다 체험위해 그냥 걸어다녔는데 더워도 알차게 구경 다 했습니다	1
아이들과 방문해서 산책하듯 둘러보기에 좋아요^^ 특히 야경이 너무 예뻐요~경주 못지 않은 야경미 뿜뿜~ 곳곳 포토스팟들도 많고, 한적하니 넓고 깨끗해서 좋고, 아이들이 미션을 통해 스탬프찍는 이벤트가 있어 심심하지 않아요~근처에 아울렛이나 황포돛배탈곳과 같이 가볼만한곳이 많아서 좋구요~자녀분들과 함께 가족단위로 방문하기도 좋고, 연인들끼리 와서 인생샷건지기도 좋은 역사유적지입니다~^^	1
아이와 산책하기 좋아요 부지가 꽤 넓어서 전기어차 타고 둘러보면 좋더라구요! 북적이지 않고 사진 스팟도 많습니다.	1
굿 	1
도깨비 소탕대작전 재밌어요. 야간에 사진찍으니 넘 예뻐요	1
와우 :) 초딩 3 + 유치원생 1명 데리고 갔는데 정말 볼거리 많았어요! 물론 초저 아이들은 좀 어려운 내용들이었지만 초고학년 아들에게는 최고  문화해설사 설명도 정말 유익하고 재미있었습니다~	1
기념품이 다양해요.	1
시설관리가 잘되어있고, 아이와함께 갔는데 이것저것 체험도 해볼수있고, 백제를 한눈에 다 들여다 볼 수있어요!^^ 낮엔 너무 더우니 여름엔 야경도 예쁘고 시원한 밤에 관람하시는 것을 추천드립니다!!	1
넓어서 아이들과 전기자전거로 구경했는데 이것이 신의한수. 아이들이 무척 좋아하네요. 바로 옆이 롯데프리미엄아울렛이라 여기서 식사도 하고 쇼핑까지... 1석 3조 입니다. ^^	1
굿	1
굿	1
날이 너무 더워서 사비로 열차 타고 한바퀴 돌았습니다. 넓직하고 애들 뛰어놀기 좋습니다. 열차내에서 설명이 좀 더 자세했으면 하는 바램이 있습	1
이쁘고 분위기가 되게 좋아요. 관리가 잘 되어 있습니다	1
굿	1
고즈넉하고 편안하고 좋아요~~아이들과 친구들과 함께왔는데~ 산책하기도 좋고 체험하는것도 많아서 좋았어요~~♡	1
몇 년 사이에 많이 바뀌었네요. 볼거리가 많아졌어요. 좀 늦게 도착해서 바쁘게 보고 왔는데 담에 여유있게 둘러봐야겠어요	1
가족 친지와 좋은 추억남기고 갑니다!!	1
어디서 어떻게 찍어도 사진도 잘나오고 관리가 잘되어잇어서 깔끔합니다	1
할인권으로 발권 해 주셔서 잘 보고 왔습니다	1
갑자기 방문해서 박물관은 못봤지만 야간개장을 해서 사비로 열차도 타고 해설가 선생님의 말씀을 들으니 너무 좋았어요. 아이와 함께여서 야간이 아니였으면 조금 힘들었을 꺼 같은데 야간이라 더 멋있고 아이가 도깨피 스템프 찍는 종이를 못했다고 아쉬워 해서 방학 때 또 방문하자고 약속했네요! 아이와 밤에 가실 분은 살짝 쌀쌀하니 담요나 외투를 꼭 챙기세요	1
웅장 그잡채! 코끼리열차 안타고 돌았는데 걸을만 했고, 야간개장때 간거라 박물관 못본건 아쉬웠지만 그만큼 한적하고 좋았음! 무슨 돌면서 도장찍기 이벤트 같은거 하는거 같았는데… 그게 너무오히려 시끄럽고 방해된게 단점!	1
입장 할 때 표 확인해 주시고 나중에 밤도깨비 문제지 확인 해 주시는 선생님분들 너무 친절하시고, 이것저것 좋은 설명 많이 해주시고, 특히 아이 예뻐해 주셔서 감사했습니다! 볼거리도 많고 아이랑 꼭 다시 방문 하기로 했어요	1
판다야 너 행복하니? 예쁘던 곳	1
참 좋았습니다^^	1
가까운곳에 이런곳이 있었다니 접근성좋고 주차장넓고 다니는곳도 널직널직해서 좋고 설명도 잘되어 있어서 좋았습니다. 단점은 너무 새롭게 지어진거라 고풍스런맛은 하나도 없었고 비용적인면도 아쉽습니다. 디지털주민증이 안되는것도 단점중하나입니다.	1
부모님 모시고 갔는데 구경거리도 많고 관리도 잘되어 있어거 좋았어요~ 날씨까지 좋아서 사진도 잘나왔어요^^	1
4년전에 왔었는데 재방문합니다 예전보다 금액대가 많이 오른것같아요 그래도 부여오면 꼭 들려야합니다~^^	1
백제문화단지는 넓고 예뻐요 여유롭게 힐링하다 갑니다 아이도 좋아했어요	1
생각보다 내부가 넓어서 놀랐어요! 날씨 선선할때 걷기도 좋을거같아요	1
야간 으로갔는데 전기자전거 타고 방문. 뒤쪽은 귀촌? 체험이라서 다 돌지못한다. 시원하니 밤에 마실처럼 가니 괜찮았다	1
아이랑 역사 공부겸 나들이 갔는데 좋았어요~^^ 밤도깨비도 나름 즐거웠습니다	1
야경이 너무 멋졌오요^^ 연날리며 아이들 너무좋아했구요~ 달그네도 달모형도 아주좋아했습니다 가볍게 산책하고 아이들 뛰기 좋을거 같아요~~	1
산책하기 좋아요	1
백제의 모습이 잘 재현되어 있어 구경하기 좋은 장소였어요. 그늘이 거의 없어 낮에 오면 많이 더워요. 표 파는 곳 옆에 한복 빌리는 곳도 있던데 한복 빌려입고 사진찍으면 더 잘 나올 것 같아요. 전망대에서 내려다 보는 모습도 멋있었어요. 그리고 안쪽에 생활문화마을은 옛날 가옥 모습을 볼 수 있어 좋았어요.	1
전기어차 대여소 직원분들 너무 친절하셔서 기분 좋게 관람하고 왔습니다^^	1
역시 백제문화단지.. 엄청 알차고 볼거리/체험거리가 다양해요. 위례궁 보려다 의외의 철갑상어 구경도 즐기고, 인덕전 기웃거리다 사진 촬영해주시고 거기에 보정도 해주시고 캘리그라피까지 넣어주셔서, 그야말로 깜짝 선물 받은 느낌이에요~~(운이 좋았네요) 한시간 반 정도면 구경 다 할 수 있습니다	1
담에또갈게요	1
굿굿 볼거리 많아오	1
굿 추천	1
굿	1
야간 시간 념 멋지고~ 달도별도 아름답고 공기도 최고 혈촌체험 너무 소리질러 목아프고 다리도 후들거렸지만 완전 꿀잼^^ 담에 한번 더 가기로 약속	1
굿	1
잘 관리되어 있었어요. (산책로, 체험, 화장실 등) 전망대올라가니 한 눈에 보여서 좋더라구요.	1
넘 멋찐 곳이에요	1
백제문화단지 멋져요~ 네이버로 구매하시길~~	1
볼게 많고 시설도 깨끗	1
굳	1
다둥이가 적용됐으면	0
5시쯤 입장하니 야간입장료 따로 내지 않고 구경했어요	1
이번 어린이날 연휴에 부여 가서 예전부터 와보고 싶었던 곳인 백제문화단지를 방문했습니다. 넓고 혼잡하지 않아서 산책하듯 구경하기 너무 좋았고 사물놀이 공연도 너무 신났어요! 의상체험도 했는데 옷매무새도 잡아주시고 사진도 찍어주시고 보정은 물론 정성스런 캘리그라피로 꾸며주기까지 해주셔서 완전 횡재한 기분이었어요 덕분에 너무 좋은 추억 남겼습니다. 감사해요! 가을에 또 가려고요 	1
야간에 다녀왔는데 재미있었습니다. 부지도 넓고 사진을 찍기 좋네요.	1
의상대여실 아저씨 최고 부여오시면 꼭 들르시길~	1
볼거리가 많아 좋습니다	1
날씨도 좋고 평일에 가서 사람이 많지않아 좋았어요 사비열차는.. 아쉬움이 많이남아요	1
열차타고 설명듣고 가볍게 산책하고, 쌀공양도하고 등도달고 백제문화권 즐기기~~	1
좋아요	1
방문했을 때 더워서걱정했는데 카트 대여 편하게 관람할 수 있어 좋았어요 의상 체험하는 곳에서 별 기대없이 인생네컷 찍었는데 시진 진짜 잘 나왔고, 캘리그라피가 진짜 의미있는 체험이었어요!의상 착용도 도와주시고, 직접 촬영하신 사진을 보정하며 캘리그라피를 입혀주시는데 폰트가 너무 예뻤어요~!좋은 말씀도 많이 해주셨는데 앞으로도 기억에 남을 것 같아요~ 감사합니다 ㅎㅎ다음에 다시 뵙게되면 50원..꼭 드릴게요 ㅎㅎㅎㅎㅎㅎ	1
낮부터 밤까지 알차게 놀았어요	1
집사람과 부여 여행중 백제문화단지 들렀어요. 엄청나게 넓네요. 여기저기 둘러 볼때가 많네요. 쉬엄쉬엄 사진 찍으면서 둘러보니 두시간이 금방 지나가네요. ㅎ 산책하기 좋네요.	1
재미있어요. 가족과 함께 나들이 오기 좋아요	1
너무 재미있는 추억을 쌓을 수 있었어요. 넓고 재미있네요	1
너무 행복하고 재미있는 시간을 많이 쌓을 수 있었습니다 :)	1
너무 좋었어요:) 가족과 함께 나들이가기 좋아요	1
야경이 너무 예뻐요!!!!!! 부여리조트 머무르시면 꼭 가보세욤!!!!!!!! 야경 강추~	1
백제문화단지가 궁금해서 찾아왔어요, 생각보다 너무 넓어가지고 다닐때 힘들었지만.. ㅋㅋㅋ 거대한 규모에 백제시대 사람들은 어땠을까 상상하는 재미가 있었습니다ㅋㅋ	1
뷰도 넓고 좋네요.	1
야간에 관람헸더니 여유있게 야경보기 좋습니다.	1
규모가 커요 입장료에비해 볼것이 별루없어요 야간에는 야경보러 오는데 너무 어두워서 잘안보여요 조금더 밝게 했음 좋겠어요 편의시설이 별루없어요 입장료가 너무비싸요	0
야경이 너무너무 예뻐요:)요즘같은 날씨에 산책하기 딱 좋아요~낮에도 예쁘겠지만 밤에 보니 분위기가 더욱 좋은 것 같아요!	1
주차도 최고 정말 멋진곳이에요 더욱 흥했으면 좋겠어요~!	1
부여 다른지역 박물관은 무료입장이지만 여기는 유료인데 시설에 비해 좀 비싼편. 2~3천원정도가 적당할 듯.	0
밤에도 조명이 잘되어 있어서 보기 좋습니다. 할것도 많고 특히 주차가 매우 편했습니다. 저녁시간 주차는 무료이구요 밤에 진행하는 공포 추리 방탈출 그것도 재밌어요. 무서워요. 애기랑은 못할거 같고, 초등 고학년~ 부터 같이 하시면 좋을거 같습니다. 좀 무서워요 분위기도 잘해놨고. 재밌었습니다!	1
볼거리가 많아요~	1
좋아요	1
굿	1
백제의 문화 시간여행	1
비가 왔지만 아이랑 놀기 좋았어요^^!	1
볼거리, 체험 등 많아서 좋았어요 ^^	1
백제문화단지 멋져요~	1
참 좋네요~ 날씨도 좋고~ 아이들도 좋아하구요~	1
야간 입장으로 다녀왔는데 날씨도 시원하고 좋앗습니다!! 넓어서 다 못봣지만 담에 또 갈게요!	1
넓고 조용하고 좋아요	1
굿	1
입장료 가격이 쎈 편인데 들어가보니 정말 좋았습니다! 개인사정상 오래 구경을 못해서 아쉬울 정도로 정말 깔끔하게 관리가 잘 되어있고 너무 멋진 곳입니다. 내부가 워낙 넓어서 전기자전거 대여해서 다니시는 분들이 많습니다. 날이 더우면 돌아다니기 어려울 것 같고 야간개장도 하고 있으니 해질녘에 들어가서 보기 정말 좋아요!	1
좋아요	1
사람도 붐비지 않고 1시간반정도 느긋하게 구경하고 다녔네요	1
세번째 방문인데 여전히 관리 잘 되어 있고요, 더 이뻐진 거 같아요. 조금더 콘텐츠가 풍성하면 좋겠으나 만족합니다.밤도깨비 찾는것도 재미났어요 ㅎㅎ	1
기차타면서 백제 설명듣는데 재미있었어요 야경도 좋고 아이가 너무 재미있어했어요해설자분 설명 너무 좋았어요	1
사진 찍기 좋아요	1
부여 여행으로 방문했는데 늦은 시간 방문이라 아이 체험 활동이 할게 거의 없네요ㅠㅠ 오후 6시 이후 야간에는 밤도깨비라는 스탬프 찍는 활동 들도 있는데 뭔가 좀 예상했던 것 보다 많이 빈약하네요. 너무 어린 자녀들 데리고 오시는 분들은 정향문 근처에서 전기어차라는 전기 자전거 빌려서 경내 구경하시면 좀 나으신데 30분에 18,000원으로 가격이 좀 사악하네요. 백제 문화재를 복원했다고 하는데 별로 볼 건 없네요. 민속촌 같은 곳 근처에 5~6가지 동물들 있어서 동물 먹이 주기 체험하고 정향문 근처에서 조금 들어오면 윷놀이,비눗방울, 재기차기, 군렁쇠 놀이 할 수 있는 도구들 있어서 조금 놀 수 있어요~	0
백제 문화거리 한번꼭가보실것 추천드립니다	1
여행와서 리조트에서 묵었는데요 리조트랑 가깝고 아이가 너무 좋아했어요 넓어서 애들 뛰어 놀기 좋았어	1
좋았어요~중간에 못 지나가게/들어가게 막혀있는 곳들도 있어요~ 열차는 7시이후로도 있었어요 확인하시구 이용하심 좋을거 같어요 넓어서 많이 걸어야 해요	1
날씨가 좋아서 더 좋은 관람이었습니다	1
지난번에 부여의 방문했을 때 휴관 일에 와서 사전 투표 하고 백제문화단지 방문 하였습니다 부여 롯데리조트 예약한 상태라 할인이 조금 되었습니다(5000원 / 네이버 예약보다 롯데리조트 가 저렴 하다고 해주셨습니다) 초등학생은 소인으로 반값으로 입장이 가능합니다 킥보드 반입은 안 됩니다 내부가 넓고 그늘이 많이 없어 한 여름에는 추천하지 않습니다 입장 바로 하면 전기 자전거 대여소가 있는데 워낙 부지가 넓어 어르신이나 임산부 갓난 아이랑 가면 빌릴 만한 것 같습니다	1
굿	1
혼자 돌아보다가 무료 의상 체험 하러 들어갔어요. 의상체험 담당 직원 분이 옷 추천해주시고 적극적으로 사진도 찍어주셨어요. 사진 찍고 끝나는 줄 알았는데 잠시만 기다려 달라고 하시더니 사진을 예술 액자처럼 만들어주셨어요. 얼굴 보정이랑 테두리 보정 예쁘게 해주셔서 감사합니다. 의상체험 꼭 해보세요~~	1
좋아요~~	1
너무알차고 체험하기 좋아요.벚꽃이 지금 너무 예뻐요.	1
문화단지가 잘 조성이 되어 있어서 애들하고 방문하기 좋으면 롯데리조트 숙박하시는분들은 할인도 해주어서 좋습니다	1
꽤 넓어요. 볼거리가 많아서 가족끼리 방문해도 좋을 것 같아요. 박물관도 있고 다양한 체험거리도 있어요.	1
좋아요 볼거리도 많고 재밌었어요	1
고즈넉하나 딱히 볼건 없다ㅜㅜ	0
날씨도 좋고 아이들과 가면 좋을듯요~^^	1
너무 멋져여	1
좋아요	1
너무 재밌는곳!! 볼거리도 많고 깔끔하고 좋아요!	1
좋아요	1
한복까지 대여하는데 저렴합니다 평일방문이라 사람도 거의 없고 넓은데 시설들도 잘 관리되어있어 구경하기 좋아요 곳곳에 전통놀이 체험도 있어서 지루하지 않습니다 한복대여해서 사진 찍는 거 완전 추천이네요 대여하는곳 사장님께서도 친절하게 잘 골라주시고 안내해주셔서 편하게 입고 다닐 수 있었어요 문화단지 내에서 다른 관광객분들이 한복 너무 잘 입은 거 같다고 하심ㅎㅎ부여 가신다면 백제문화단지 완전 추천코스입니다!	1
천천히 걸으면서 둘러보니 좋아요. 일요일 늦은 시간이라 그런지 사람도 그리 많지 않아서 조용하고 좋았어요.	1
아이들과 뛰어 놀기 좋아요	1
아이와 가는거 정말 좋아요~	1
체험 프로그램도 많고, 볼거리도 많아서 좋은시간 보내고 갑니다 무료의상체험 직원분도 친절하시고, 재밌게 보내고 갑니다	1
봄나들이 좋았어요~	1
굿굿 가까이에 롯데아울렛과 리조트가 있었요 꽃이 피었다면 더 아름답지 않았을까.. 하는 아쉬움이 있었네요	0
백제문화단지! 정말 넓고 볼거리도 많아요~ 직원 분들이 친절하시고 시설물 관리도 잘 되어 있어서 좋았습니다^^ 우천 시 우산도 무료로 대여 가능합니다!	1
좋아요	1
좋아요	1
부여여행중 갈만한곳 검색해보고 좋다고 해서 방문함. 사진찍을곳도 많고 사비성 위례성구경 신기했음. 소소한 체험거리를 아이가 좋아했음. 꽃필때오면 더 예쁠듯함.부여여행중 입장료가 가장 비싼곳이었음. 네이버예약시 좀더 저렴함.	1
아이와 함께 둘러보기 좋아요~ 백보열 참가했더니 스탬프도 찍고 퀴즈도 풀어가며 즐겁게 다녔어요~ 백제 역사 관련 영상볼 수 있는 곳이 군데군데 있는데 외지고 어두워서 무서웠네요;; 개선되면 좋을 것같아요!!	1
좋아요	1
굿	1
볼거리가 적은것 같아요 관리는 잘되어있어용	0
걷기 좋았어요	1
굿	1
친절해요	1
구경하기 좋아요!	1
부여 가서 백제문화단지 방문 했습니다 입장료는 조금 비싸다 생각 들지만 깔끔 하고 화장실도 깨끗해요 부여 와서 관광지로 오기 좋은것 같아요	1
평일이라 사람이 너무 없어서 좀 휑하게 느껴짐	0
아울렛 바로 옆에 문화단지가 있어서 좋았어요^^ 아이들과 함께 종종 이용할 것 같아요. 다자녀는 50% 할인도 된다니 	1
좋아요	1
정말 멋진 곳이었네요 평일이라 사람이 많이 없었는데 이렇게 없는 게 이상할 정도로 관리도 잘 돼있고 다니기 너무 좋았어요! 화장실에 따뜻한 물 나와서 감동ㅠㅠ	1
백제의 건축 양식과 문화를 볼 수 있고 단지가 꽤 넓어 산책하기도 좋아요. 아침 일찍 방문하면 사람도 많지 않아 조용하게 즐길 수 있어요.	1
비가 오고 추운날이였지만 너무 즐거웠습니다 모두 친절하셔서 너무 좋았어요 생각보다 커서 구석구석 보고 싶으면 시간을 넉넉잡아서 방문해야할거 같아요	1
백제문화단지 좋아요~	1
굿	1
재밌고 유익했어요 백제 체험	1
굳	1
백제역사 교육하기에는 이만한 곳이 없음 공주 무령왕릉과 같이 가보시면 좋아요	1
백제문화를 잘 알수 있게 전시 되어 있어요	1
부여여행 왔다가 들렀습니다 오길잘한거같고 볼거리도 괜찮고 좋은 추억 남기고 갑니다	1
아이들과 여행가서 즐겁게 구경하고 왔어요.	1
작년에 갔다가 이번년도에도 또 방문했습니다~ 추웠지만 한적하니 좋았어요	1
넘넘 좋은 시간 보냈어요~~! 한복 빌리실때 조선 한복 말고 흔하지않은 백제한복 빌리세요!ㅎㅎ 예쁘고 편했어요	1
굿	1
민속행사?가 있어서 연놀이도 즐길수 있어요.	1
관광후에 마당에서 비눗방울놀이도 하고 연도 날리고 즐거운 시간이었습니다 의외로 체험이 다채롭습니다 전기 어차 타고 다녀서 1시간만에 돌고 나왔는데 아니었음 2시간도 넘을 것 같아요 9000원 표는 초딩아이들 미션지 주고 선물 주는 표입니다	1
체험할 것도 많고 무엇보다 아이가 너무 좋아하네요 꼭 재재재방문 하겠습니당	1
다양한 체험활동을 할 수 있어서 좋았다^~^	1
기대 이상으로 뜻깊은 시간 가족과 함께 보냈습니다. 백제의 얼을 느낄 수 있었고 전통의상체험을 통해 그 시대의 한 사람으로 분해보기도 했답니다. 특히 의상뿐 아니라 여러가지 친절히 설명해주셨던 체험담당관님 감사드립니다~	1
박물관만 둘러봤러요	1
조용하게 구경하기 좋아요	1
굿	1
아이들과 가기 좋아요	1
이거 만들려고 3100억을 썼다구요? 얼마나 해먹었을까 생각밖에..	0
정말 넓고 볼거리가 많아요!! 아이와 함께 백보열도 참여했어요!!	1
사진 찍기가 좋아요 쾌적하고 걸어다니기도 좋아요	1
재미있게 구경했어요	1
굿	1
너무 넓어서 다 본다고 고생했네요 볼거리가 많아요	1
입장료가 조금 비싸지만 그래도 전시관 포함이라.. 좋네요. 널찍하고 사진찍기엔 아주 좋습니다.	1
굿!	1
좋아요	1
겨울날의 산책	1
구경잘했어요~설날 행사로 떡메치기하고 인절미 나눠주셨는데 넘 맛있었어요^^	1
문화단지안에 전기자전거(?)가 있어 애들이 좋아했어요. 그런데 살살 걷기에도 괜찮을 것 같아요. 돌아볼만합니다	1
명절연휴에 가족들과 방문했어요~ 겨울시즌은 처음인데, 날씨도 좋고 춥지않아서 너무 좋았어요 설날이어서 연날리기하시는 분들도 있고, 아이들도 할 수 있는 놀이들이 많더라구요^^ 조용하게 산책하며 구경하기도 좋고, 깨끗하고 관리가 잘되어 있어 올때마다 기분좋은 곳이에요 고즈넉하고 멋진 백제문화단지에서 오늘도 힐링받고 왔어요^^ 입구쪽에 자동전기차가 있는데 40분에 2만원이에요 너무 편하고, 재밌으니까 꼭 타보시길 추천이요~!! 가족들과 함께하기 정말 좋은 곳♡♡	1
설날치고 체험안하는게 많지만 생각보다 넓고 볼거리가 많아요 	1
좋아요	1
볼것도 은근 많아서 꽤나 만족했어요. 부여 또 가면 사진찍으러 만이라도 또 갈 거 같아요!	1
굿굿	1
백제문화단지 겨울이라 그렇지 한번 다녀오기 좋네요	1
옷 입고 체험하고 직원분 너무 좋으십니다. 사진 촬영해주시고 뽀샵까지 ^^ 좋은 체험 너무 감사합니다^^새해복 많이 받으세요^^	1
새로 조성된 곳이라 그런지 정말 깨끗하고 산책하기 너무 좋아요. 정시마다 무료 도슨트도 해주시는데 마침 시간이 맞아서 구경하면서 많이 배우고 재밌었네요 도슨트 길이도 길지 않아서 가볍게 설명 듣고 구경해도 시간이 충분한 거 같아요. 겨울에는 하늘이 맑아서 너무 예뻤는데 봄에 벚꽃이 피면 그 풍경도 예쁠 거 같아 기대가 되는 곳이에요. 가격 면에서도 박물관도 함께 이용할 수 있어서 좋았어요.	1
고양이들이 엄청 사람 좋아해요! 애들이 한참 고양이랑 놀았어요. 곳곳이 다 멋져서 사진 찍기 좋아요. 입장할 때 넓은 마당에 비눗방울, 줄넘기, 후프, 윷놀이가 있어서 놀기에도 좋아요. 4시에 입장해서 5시까지 구경하기 아쉬웠어요. 다시 또 가볼래요.	1
좋아요	1
이번에 가족여행으로 부여 백제문화단지 다녀왔는데 볼거리도많고 체험할거리도 많고 다양해 아이도 어른도 즐겁게다녀올수있어서 좋았어요! 바로옆에 아울렛도 있던데 다음번에 방문하면 아울렛도 들렸다와야겠어요 헤헷 ㅋㅋㅋㅋ 가족여행으로 다녀온 백제문화단지 너무 즐겁게 잘 있다왔습니다! 또 방문하겠습니다	1
가족들과 정말 즐거운 관람이였습니다. 특히 사비의 꽃 3D 영상은 감동적인 스토리였어요. 재방문 의사 있습니다. 감사합니다.^^	1
사진찍으면 이뻐요.자전거 이용할수 있어 좋고,넓고 무료체험도있고 좋습니다	1
굿	1
넓고 가볍게 산책하면서 둘러보기 좋은곳이예요~ 무료로 의상체험도 있더라고여 그리고 사진 직접 찍어주셔서 포토샵까지 해주시고 캘리그라피 구경도 했답니다! 세상친철한 직원분 덕분에 좋은사진얻고 알차게보내고 왔어요~ 좋은추억만들고 왔답니다!	1
백제는 유적이 온전하게 남은 곳이 많지 않은데, 이렇게 큰 공간에 복원해 둔 궁궐과 사찰을 보니 백제 문화의 아름다움을 조금이나마 느낄 수 있었습니다. 또 기념품 가게에 오수전 모형처럼 생각보다 저렴하면서도 괜찮은 물품이 여럿 있어 좋았습니다.	1
어차 꼭 빌리세요 진짜 편하고 좋아요 그리고 한복대여 하시고 꼭 사진도 찍으세요 좋은 추억이 됩니다	1
굿	1
굿	1
긋	1
날씨가 쌀쌀했지만 아이들과 한바퀴 둘러보며 백제의 문화를 즐겼어요. 전기자전거 타며 이동하는 것도 소소한 재미가 있었고 중간중간 체험놀이가 많아서 시간가는 줄 모르고 놀았네요.	1
